country_code;year;gear_type;metier;mismatch;;Count of mismatch;Column Labels;;;;;;;;;;;
SCO;2018;PTM;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;HMD;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2021;SV;SDN_MCF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;LHM;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
POL;2014;GTR;GNS_FWS_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;PTB;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2016;OTM;OTB_DEF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;OTT;OTB_CRU_32-69_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2016;LLS;LLD_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2015;OTB;PTM_SPF_32-39_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;FPO;DRB_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;GNS;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2023;GTR;GNS_CRU_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2014;PTM;OTB_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LHM;GNS_DEF_>=220_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2018;GNS;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
FIN;2018;LHP;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
GRC;2016;OTB;SV_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;OTM;OTB_MCD_90-99_1_270;#VALUE!;;;;;;;;;;;;;;
ESP;2023;SV;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2018;GNS;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2013;LHP;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;GNS;OTB_DEF_90-104_0_0;#VALUE!;;;;;;;;;;;;;;
